6952;4;0;0.1;Bond;Dhawan;FOUR; too quick down the leg side, Dhawan gets a tickle fine
6953;4;0;0.2;Bond;Dhawan;no run; better line, around off, hit one bounce to cover
6969;4;0;0.3;Bond;Dhawan;no run; short, angling away, Babu [Dhawan] looks to cut, gets a bottom edge through to Saha
7051;8;0;0.4;Bond;Dhawan;FOUR; lovely shot, poor bowling! full and wide, Dhawan gets across, on a knee, and elegantly extra-cover-drives it
7072;8;0;0.5;Bond;Dhawan;no run; tucks him up with a short delivery, played towards square leg
7121;12;0;0.6;Bond;Dhawan;FOUR; another nice shot, there is not much room on the cut shot, but he hits it powerfully into the ground, and it then bounces over the ring of cover fielders
7155;12;0;1.1;Sharma;Tendulkar;no run; wide outside off, Tendulkar shoulders arms
7235;16;0;1.2;Sharma;Tendulkar;FOUR; what a shot! half-volley on middle stump, and he just meets it, and the on-drive goes flying across the outfield
7236;16;0;1.3;Sharma;Tendulkar;no run; shorter outside off, and he lets it go through
7237;16;0;1.4;Sharma;Tendulkar;no run; drives in front of his body, straight to mid-off
7359;20;0;1.5;Sharma;Tendulkar;FOUR; what an outfield this is, he mis-hits a drive outside off, but it goes fast across the turf, beats mid-off and goes for four
7420;24;0;1.6;Sharma;Tendulkar;FOUR; lovely shot again, this time he hits the drive well, opening the face on it, and placing it between mid-off and extra cover - all runs so far have cone in six boundaries
7454;24;0;2.1;Gayle;Dhawan;no run; short, around off, hit to point
7570;25;0;2.2;Gayle;Dhawan;1 run; slightly back of  a length, punched down to long-off for a single
7641;26;0;2.3;Gayle;Tendulkar;1 wide; fired full and wide down the leg side, Tendulkar misses the vertical sweep, which would have got four
7656;27;0;2.3;Gayle;Tendulkar;1 wide; fired even further down the leg side
7673;28;0;2.3;Gayle;Tendulkar;1 run; flighted around off, pushed down to long-on
7696;29;0;2.4;Gayle;Dhawan;1 run; short of a length, and punched down to long-off for a single
7722;31;0;2.5;Gayle;Tendulkar;2 runs; full ball, driven with an open face, Mathews at cover gets a bad bounce off a practice wicket and gives away an extra run
7723;31;0;2.6;Gayle;Tendulkar;no run; what a save by Mathews, he has saved four here, was a crunchy extra-cover drive but Mathews dived to his right from cover - full-length - and doesn't even give away a single, so quick is he to get the ball back
7724;31;0;3.1;Sharma;Dhawan;no run; back of a length, no room, defended to cover
7868;32;0;3.2;Sharma;Dhawan;1 run; driven straight to Harpreet at cover and comes through for one
7912;36;0;3.3;Sharma;Tendulkar;FOUR; bad bounce surely, Mathews is getting all of it! Punched off the back foot, two cover fielders, Karthik and Mathews have it covered, but it hits the edge of the practice wicket inside the circle, and spins away - going by the form Tendulkar has been over the last two years, he might even have intended it thus
7981;40;0;3.4;Sharma;Tendulkar;FOUR; poor bowling, tries the bouncer, but there is no sting it, Tendulkar gets inside the line and pulls it over short fine
8002;44;0;3.5;Sharma;Tendulkar;FOUR; Ishant is being taken to school here, bowls another bouncer at Tendulkar - at his pace, seriously? - and Tendulkar pulls it over midwicket, what a crunchy shot
8069;45;0;3.6;Sharma;Tendulkar;1 wide; slower ball, wide down the leg side
8070;45;0;3.6;Sharma;Tendulkar;no run; hit to point, and Tendulkar decides against the single, both originally and also off the overthrow
