1;617;4;0;0.1;Malinga;Gayle;FOUR; and CG is off, four off his first ball in IPL in India! Malinga goes for the yorker, slides down the pads, Gayle helps it to fine leg. Sweet as!
1;658;5;0;0.2;Malinga;Gayle;1 run; another yorker down the wrong line, flicked to fine leg for one
1;713;6;0;0.3;Malinga;Ganguly;1 bye; slower ball, Ganguly is comprehensively beaten, falls awkwardly in front of Tare, the keeper, they steal a bye
1;715;6;0;0.4;Malinga;Gayle;no run; slower offcutter, 131.3ks, Gayle is into the stab long before the ball arrives, beaten comprehensively
1;728;6;0;0.5;Malinga;Gayle;no run; another slower ball, this time Gayle is with it, and shoulders arms
1;819;10;0;0.6;Malinga;Gayle;4 byes; Tare should have done better than that! Another slower ball, really slow, 107ks, and Gayle is beaten again. By now Tare should have known what to expect and stayed low, but he didn't, and let go four byes
1;903;11;0;1.1;Khan;Ganguly;1 run; and nearly again! inside edge, almost through that gap, shaping in towards the off stick late, and somehow Dada gets an inside edge
1;904;11;0;1.2;Khan;Gayle;no run; on a length, around off, defended to cover
1;905;11;0;1.3;Khan;Gayle;no run; around that length around off again, played with an open face towards point
1;906;11;0;1.4;Khan;Gayle;no run; full and straight, around middle, Gayle defends, a big shot can't be away
1;907;11;0;1.5;Khan;Gayle;no run; around off again, just short of driving length, and he plays with an open face to point
1;908;11;0;1.6;Khan;Gayle;no run; end of a good over, no room again, and just short of that driving arc, played to cover
1;909;11;0;2.1;McLaren;Ganguly;no run; Ganguly looks to make room first ball and he follows him with a yorker outside leg, which passes between Ganguly and the stumps
1;1254;15;0;2.2;McLaren;Ganguly;FOUR; oh McLaren goes by what he must heard all this while, bowl short into Ganguly's ribs, and Ganguly somehow gets glove on that awkward pull shot
1;1299;19;0;2.3;McLaren;Ganguly;FOUR; much better, what a reply from Dada! moves across the stumps, takes a back-of-a-length delivery and whips it fine, beating long leg
