2689;54;0;7.4;Bravo;Ganguly;1 run; bunts one length ball into the covers for a single
2722;55;0;7.5;Bravo;Gayle;1 run; full and straight, hit down to long-on for a single
2754;56;0;7.6;Bravo;Ganguly;1 run; slower ball, Ganguly way early into the shot, but somehow it bounces in front of long-on
2785;56;0;8.1;Harbhajan Singh;Ganguly;no run; gets away with a freebie, half-tracker outside the leg stump with fine leg up, but Ganguly pulls it straight to the man
2865;57;0;8.2;Harbhajan Singh;Ganguly;1 run; full and fast, driven down to long-off for a single
2866;57;0;8.3;Harbhajan Singh;Gayle;no run; flighted outside leg, spinning towards the stumps, Gayle fails to connect on the sweep
2926;58;0;8.4;Harbhajan Singh;Gayle;1 run; outside leg again, Gayle works it square of short fine for a single
2936;59;0;8.5;Harbhajan Singh;Ganguly;1 run; full and fast again, played with an open face, still only a single to sweeper-cover
2962;60;0;8.6;Harbhajan Singh;Gayle;1 run; Gayle looks to give him the charge, Bhaj fires it into the pads again, just a single again
3151;61;0;9.1;McLaren;Gayle;1 run; low full toss, hit powerfully to long-on
3181;62;0;9.2;McLaren;Ganguly;1 run; slower, slightly slower, and he hits a shortish delivery down to long-on
3213;63;0;9.3;McLaren;Gayle;1 run; full toss, and and murdered down the ground, Bravo does well to field it at long-on, he had moved only about six feet by the time ball arrived
3244;64;0;9.4;McLaren;Ganguly;1 run; Ganguly pulls, top-edges, and it somehow lands safe, behind short fine and in front of deep square
3277;65;0;9.5;McLaren;Gayle;1 run; low full toss again, and hit down to long-off for one
3309;67;0;9.6;McLaren;Ganguly;2 runs; over-pitched delivery, driven wide of long-off, comes back for two
3384;68;0;10.1;Harbhajan Singh;Gayle;1 run; full toss outside off, and still a single, mane full tosses hit for singles
3385;68;0;10.2;Harbhajan Singh;Ganguly;no run; shorter delivery, makes room, can't get it wide of point
3431;69;0;10.3;Harbhajan Singh;Ganguly;1 run; flighted around off, gets a single to cover
3454;70;0;10.4;Harbhajan Singh;Gayle;1 run; tossed up, just short of driving length, punched down to long-off
3455;70;0;10.5;Harbhajan Singh;Ganguly;no run; sees Ganguly move away, he fires it full and wide across him
3456;70;0;10.6;Harbhajan Singh;Ganguly;OUT; and Bhaj has done his Dada in! slows the pace down again, flighted outside leg, the break beats Ganguly's waft, and out goes the middle stump
3583;71;1;11.1;McLaren;Gayle;1 wide; Gayle looks to make room, McLaren bowls a yorker, just outside leg, and is called a wide
3584;71;1;11.1;McLaren;Gayle;no run; another yorker, digs it out this time
3639;72;1;11.2;McLaren;Gayle;1 run; another full toss hit just for a single, down to long-on
3700;73;1;11.3;McLaren;Shah;1 run; looks in good touch right away, punched wide of sweeper-cover, but they decide against the second
3701;73;1;11.4;McLaren;Gayle;no run; another yorker, and Gayle can't do much with it
3757;74;1;11.5;McLaren;Gayle;1 run; full toss again, and again all he can do with it is hit it to long-on
3758;74;1;11.6;McLaren;Shah;no run; very nice yorker, Shah digs it out, and almost gets it over McLaren who leaps high and gets a hand to it to save a single
3830;75;1;12.1;Harbhajan Singh;Gayle;1 run; yorker by Bhaj, Gayle hits it down to long-off
3860;76;1;12.2;Harbhajan Singh;Shah;1 run; nice offbreak, no room, bunts it into covers for a single
3887;78;1;12.3;Harbhajan Singh;Gayle;2 runs; Malinga fumbles at long-on and they take a couple, was hit forcefully down to him
3888;78;1;12.4;Harbhajan Singh;Gayle;no run; another nice yorker, pitching on the crease, can't do much with that either
3933;79;1;12.5;Harbhajan Singh;Gayle;1 run; this yorker is around off, and he squeezes it past Bhaj for a single
3964;80;1;12.6;Harbhajan Singh;Shah;1 run; steps down, Bhaj fires a fast full toss, and again just a single to long-on. Good spell by Bhaj
4063;81;1;13.1;Bravo;Shah;1 run; low full toss and again just bunted down to long-on
4098;85;1;13.2;Bravo;Gayle;FOUR; nicely played, Gayle gets the better of the leg-side yorker this time, stays back, gets inside the line, and turns it past short fine leg - first boundary in 37 balls
4146;86;1;13.3;Bravo;Gayle;1 run; low full toss, gets under it, punches it, but it is just a single to deep midwicket
4180;88;1;13.4;Bravo;Shah;2 runs; slower ball, dragged from outside off to wide of long-on
4210;92;1;13.5;Bravo;Shah;FOUR; toe-ended into the V behind the stumps, wide yorker, Shah throws everything at it, and the edge beats short third - not smart bowling with the third man up in the circle
4246;93;1;13.6;Bravo;Shah;1 run; this yorker is closer to off, and is hit down to long-on for one
4312;94;1;14.1;Malinga;Shah;1 run; starts off with a bouncer, pulled away for a single to deep square leg
4349;95;1;14.2;Malinga;Gayle;1 run; low full toss hit to cover for one
4396;96;1;14.3;Malinga;Shah;1 run; short ball dragged from way outside off to deep square leg
4397;96;1;14.4;Malinga;Gayle;no run; well bowled, yorker on middle stump, pitching on the crease, hit back to Malinga
4449;97;1;14.5;Malinga;Gayle;1 wide; misfires with the slower off cutter, too wide of off
4487;98;1;14.5;Malinga;Gayle;1 run; slower ball again, guides it to slightly wide of Pollard, who doesn't field it cleanly, and they get through for one
4526;102;1;14.6;Malinga;Shah;FOUR; that is a top shot, this is a good delivery and it's a boundary manufactured, stays deep in the crease, pre-meditating a yorker, and yorker it is, and moves across to flick it past midwicket
4615;106;1;15.1;Khan;Gayle;FOUR; one-handed pull for four, the short ball stops at him and he pulls one-handed, past short fine leg - his s/r reaches 100 - he has also reached his IPL best
4659;110;1;15.2;Khan;Gayle;FOUR; that's the first time he has taken full toll of a full toss, moves back to a low full toss and crashes it past short fine - that's his fifty too
4715;111;1;15.3;Khan;Gayle;1 leg bye; yorker on the pads, manages just a leg-bye
4717;111;1;15.4;Khan;Shah;no run; low full toss, and he misses out again! Hits it straight to midwicket
4788;112;1;15.5;Khan;Shah;1 run; shorter ball, and he pulls it to deep square leg
4831;118;1;15.6;Khan;Gayle;SIX; mis-hits it over long-on boundary, that's the power of Gayle! Gets this full toss high on his bat but goes through with the shot and clears the field
5060;119;1;16.1;Bravo;Shah;1 run; full toss again, he gets it over square leg for two - another full toss doesn't see the fence
5101;120;1;16.2;Bravo;Gayle;1 run; yorker on leg stump, hit straight to short fine, Bravo is not back to take the throw and Tendulkar's throw is far off the stumps - 50-run partnership
5139;121;1;16.3;Bravo;Shah;1 run; looks to hit across the line, slices it down to long-off
5173;123;1;16.4;Bravo;Gayle;2 runs; yorker outside leg stump again, this time they run urgently, and take a couple after having placed it just wide of fine leg
5241;124;1;16.5;Bravo;Gayle;1 leg bye; another full toss missed, makes no contact with the bat here, gets a leg-bye
5260;125;1;16.6;Bravo;Shah;1 run; full outside off, plays with an open face, gets a single, another over without a boundary
5328;126;1;17.1;McLaren;Shah;1 run; in the block hole again, hit down the ground for a single
5360;130;1;17.2;McLaren;Gayle;FOUR; inside edge for four! clears the front leg for the big shot, but the edge rushes past short fine
5425;134;1;17.3;McLaren;Gayle;FOUR; violence! misses the yorker by inches, and Gayle murders it. almost taking out the umpire with the straight hit
5439;136;1;17.4;McLaren;Gayle;2 runs; ends up chipping an intended extra-cover drive, gets two as it falls short of the deep fielder
5472;137;1;17.5;McLaren;Gayle;1 run; makes room for the cover drive, can't get it past extra cover
5522;139;1;17.6;McLaren;Shah;2 runs; yorker down the leg side, and Tare should have really collected this one, two runs given away
5609;140;1;18.1;Malinga;Gayle;1 run; slower ball, Gayle aborts the big shot, gets a single to point
5658;141;1;18.2;Malinga;Shah;1 run; moves across the stumps, stays deep in the crease, anticipating a yorker, Malinga bowls a slower ball, he flicks it to fine leg for one
5698;142;1;18.3;Malinga;Gayle;1 run; again a slower ball, and Gain Gayle gets just a single off it - to cover-point
