8.3;Harbhajan Singh to Gayle;no run;57; flighted outside leg, spinning towards the stumps, Gayle fails to connect on the sweep
8.4;Harbhajan Singh to Gayle;1 run;58; outside leg again, Gayle works it square of short fine for a single
8.5;Harbhajan Singh to Ganguly;1 run;59; full and fast again, played with an open face, still only a single to sweeper-cover
8.6;Harbhajan Singh to Gayle;1 run;60; Gayle looks to give him the charge, Bhaj fires it into the pads again, just a single again
9.1;McLaren to Gayle;1 run;61; low full toss, hit powerfully to long-on
9.2;McLaren to Ganguly;1 run;62; slower, slightly slower, and he hits a shortish delivery down to long-on
9.3;McLaren to Gayle;1 run;63; full toss, and and murdered down the ground, Bravo does well to field it at long-on, he had moved only about six feet by the time ball arrived
9.4;McLaren to Ganguly;1 run;64; Ganguly pulls, top-edges, and it somehow lands safe, behind short fine and in front of deep square
9.5;McLaren to Gayle;1 run;65; low full toss again, and hit down to long-off for one
9.6;McLaren to Ganguly;2 runs;67; over-pitched delivery, driven wide of long-off, comes back for two
10.1;Harbhajan Singh to Gayle;1 run;68; full toss outside off, and still a single, mane full tosses hit for singles
10.2;Harbhajan Singh to Ganguly;no run;68; shorter delivery, makes room, can't get it wide of point
10.3;Harbhajan Singh to Ganguly;1 run;69; flighted around off, gets a single to cover
10.4;Harbhajan Singh to Gayle;1 run;70; tossed up, just short of driving length, punched down to long-off
10.5;Harbhajan Singh to Ganguly;no run;70; sees Ganguly move away, he fires it full and wide across him
10.6;Harbhajan Singh to Ganguly;OUT;70; and Bhaj has done his Dada in! slows the pace down again, flighted outside leg, the break beats Ganguly's waft, and out goes the middle stump
11.1;McLaren to Gayle;1 wide;71; Gayle looks to make room, McLaren bowls a yorker, just outside leg, and is called a wide
11.1;McLaren to Gayle;no run;71; another yorker, digs it out this time
11.2;McLaren to Gayle;1 run;72; another full toss hit just for a single, down to long-on
11.3;McLaren to Shah;1 run;73; looks in good touch right away, punched wide of sweeper-cover, but they decide against the second
11.4;McLaren to Gayle;no run;73; another yorker, and Gayle can't do much with it
11.5;McLaren to Gayle;1 run;74; full toss again, and again all he can do with it is hit it to long-on
11.6;McLaren to Shah;no run;74; very nice yorker, Shah digs it out, and almost gets it over McLaren who leaps high and gets a hand to it to save a single
12.1;Harbhajan Singh to Gayle;1 run;75; yorker by Bhaj, Gayle hits it down to long-off
12.2;Harbhajan Singh to Shah;1 run;76; nice offbreak, no room, bunts it into covers for a single
12.3;Harbhajan Singh to Gayle;2 runs;78; Malinga fumbles at long-on and they take a couple, was hit forcefully down to him
12.4;Harbhajan Singh to Gayle;no run;78; another nice yorker, pitching on the crease, can't do much with that either
12.5;Harbhajan Singh to Gayle;1 run;79; this yorker is around off, and he squeezes it past Bhaj for a single
12.6;Harbhajan Singh to Shah;1 run;80; steps down, Bhaj fires a fast full toss, and again just a single to long-on. Good spell by Bhaj
13.1;Bravo to Shah;1 run;81; low full toss and again just bunted down to long-on
13.2;Bravo to Gayle;FOUR;85; nicely played, Gayle gets the better of the leg-side yorker this time, stays back, gets inside the line, and turns it past short fine leg - first boundary in 37 balls
13.3;Bravo to Gayle;1 run;86; low full toss, gets under it, punches it, but it is just a single to deep midwicket
13.4;Bravo to Shah;2 runs;88; slower ball, dragged from outside off to wide of long-on
13.5;Bravo to Shah;FOUR;92; toe-ended into the V behind the stumps, wide yorker, Shah throws everything at it, and the edge beats short third - not smart bowling with the third man up in the circle
13.6;Bravo to Shah;1 run;93; this yorker is closer to off, and is hit down to long-on for one
14.1;Malinga to Shah;1 run;94; starts off with a bouncer, pulled away for a single to deep square leg
14.2;Malinga to Gayle;1 run;95; low full toss hit to cover for one
14.3;Malinga to Shah;1 run;96; short ball dragged from way outside off to deep square leg
14.4;Malinga to Gayle;no run;96; well bowled, yorker on middle stump, pitching on the crease, hit back to Malinga
14.5;Malinga to Gayle;1 wide;97; misfires with the slower off cutter, too wide of off
14.5;Malinga to Gayle;1 run;98; slower ball again, guides it to slightly wide of Pollard, who doesn't field it cleanly, and they get through for one
14.6;Malinga to Shah;FOUR;102; that is a top shot, this is a good delivery and it's a boundary manufactured, stays deep in the crease, pre-meditating a yorker, and yorker it is, and moves across to flick it past midwicket
15.1;Khan to Gayle;FOUR;106; one-handed pull for four, the short ball stops at him and he pulls one-handed, past short fine leg - his s/r reaches 100 - he has also reached his IPL best
15.2;Khan to Gayle;FOUR;110; that's the first time he has taken full toll of a full toss, moves back to a low full toss and crashes it past short fine - that's his fifty too
15.3;Khan to Gayle;1 leg bye;111; yorker on the pads, manages just a leg-bye
15.4;Khan to Shah;no run;111; low full toss, and he misses out again! Hits it straight to midwicket
15.5;Khan to Shah;1 run;112; shorter ball, and he pulls it to deep square leg
15.6;Khan to Gayle;SIX;118; mis-hits it over long-on boundary, that's the power of Gayle! Gets this full toss high on his bat but goes through with the shot and clears the field
16.1;Bravo to Shah;1 run;119; full toss again, he gets it over square leg for two - another full toss doesn't see the fence
16.2;Bravo to Gayle;1 run;120; yorker on leg stump, hit straight to short fine, Bravo is not back to take the throw and Tendulkar's throw is far off the stumps - 50-run partnership
16.3;Bravo to Shah;1 run;121; looks to hit across the line, slices it down to long-off
16.4;Bravo to Gayle;2 runs;123; yorker outside leg stump again, this time they run urgently, and take a couple after having placed it just wide of fine leg
16.5;Bravo to Gayle;1 leg bye;124; another full toss missed, makes no contact with the bat here, gets a leg-bye
16.6;Bravo to Shah;1 run;125; full outside off, plays with an open face, gets a single, another over without a boundary
17.1;McLaren to Shah;1 run;126; in the block hole again, hit down the ground for a single
17.2;McLaren to Gayle;FOUR;130; inside edge for four! clears the front leg for the big shot, but the edge rushes past short fine
17.3;McLaren to Gayle;FOUR;134; violence! misses the yorker by inches, and Gayle murders it. almost taking out the umpire with the straight hit
17.4;McLaren to Gayle;2 runs;136; ends up chipping an intended extra-cover drive, gets two as it falls short of the deep fielder
17.5;McLaren to Gayle;1 run;137; makes room for the cover drive, can't get it past extra cover
17.6;McLaren to Shah;2 runs;139; yorker down the leg side, and Tare should have really collected this one, two runs given away
18.1;Malinga to Gayle;1 run;140; slower ball, Gayle aborts the big shot, gets a single to point
18.2;Malinga to Shah;1 run;141; moves across the stumps, stays deep in the crease, anticipating a yorker, Malinga bowls a slower ball, he flicks it to fine leg for one
18.3;Malinga to Gayle;1 run;142; again a slower ball, and Gain Gayle gets just a single off it - to cover-point
18.4;Malinga to Shah;1 run;143; slower ball, hit powerfully to leg, Dhawan makes a nice sliding save at deep square and gets it back fast
18.5;Malinga to Gayle;1 wide;144; misdirects this slower offcutter, too wide of off stump
18.5;Malinga to Gayle;3 runs;147; slower ball again, Gayle goes after it, and the top edge flies over short third man, and Zaheer - running back - misjudges it and they get three extra runs
18.6;Malinga to Shah;1 run;148; full delivery, hit down the ground for one
19.1;Khan to Shah;FOUR;152; nice shot, shuffles across, manufacture a leg-side line, and flicks a low full toss past short fine
19.2;Khan to Shah;OUT;152; this time he makes room and gets outside the line, Zak bowls the same delivery and he misses it, and is bowled
19.3;Khan to Mathews;no run;152; slower bouncer, beats Mathews comprehensively, and finally Tare keeps well despite the break away from him
19.4;Khan to Mathews;2 runs;154; full toss again, and again he can't get it away, hits it just wide of long-on
19.5;Khan to Mathews;1 run;155; perfect yorker, can get just a single off it
19.6;Khan to Gayle;OUT;155; Has he broken the toe? What a lovely yorker, tailing in late, beats Gayle's bat, gets him on the back toe, Gayle is limping for a leg-bye. Umpire Hazare adds insult to injury, giving him lbw when the ball is sliding down. Hazare won't want this to go close - this one leg-bye could be crucial in the end
